speaker,episode,sheet,context,english,dutch,utterer_key
Ringmaster Rico,E5,E5_CircusMain_localization,,"Mecha City's most benevolent benefactor, Mme. Derriere!","De meest welvarende weldoener van Mechalen, Mevr. Derrière!",SAY.Dialog:RingmasterOpening.159.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,Let's give her a round of applause!,Een daverend applaus!,SAY.Dialog:RingmasterOpening.158.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,ALSO! I have a very big announcement at the end of tonight's show...,EN! Ik heb ook nog een grote aankondiging aan het eind van de voorstelling van vanavond...,SAY.Dialog:RingmasterOpening.135.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,So stay tuned!,Dus blijf blij ons!,SAY.Dialog:RingmasterOpening.136.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,Our FIRST ACT comes to you from the grassy plains of the Savannah!,"Onze EERSTE ACT, recht van de grasvlaktes van de Savanne!",SAY.Dialog:RingmasterOpening.69.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,Please give a big round of applause for...,Een luid applaus voor...,SAY.Dialog:RingmasterOpening.74.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,"The Player gains control of the Elephant.
After the mini-game, the dialogue jumps to either line 35 or 47.",...ELI THE AFRICAN ELEPHANT!,AMADOU DE AFRIKAANSE OLIFANT!,SAY.Dialog:RingmasterOpening.29.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,"After the Elephant's section, Rico reviews the performance.
This is if the Elephant gave a BAD show.",Give a polite round of applause for Eli the Elephant who...,"Dames en heren, een vriendelijk applaus voor Amadou de Olifant...",SAY.Dialog:RicoGoodOrPoor.35.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,"...tried their best to roll with it, but didn't quite fill the stage.","...wie zijn best gedaan heeft, maar toch net niet het podium tot leven gebracht heeft.",SAY.Dialog:RicoGoodOrPoor.199.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,Formerly: That's what you get when you pay your performers peanuts!,What do you expect when your performer only wants to be paid peanuts?,Wat verwacht je van een acteur die enkel betaling in pindanoten ontvangt?,SAY.Dialog:RicoGoodOrPoor.197.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,"But seriously folks, these animals have traveled a long way to get here.","Maar even serieus, mensen. Deze beesten hebben lang gereisd om hier vanavond te staan.",SAY.Dialog:RicoGoodOrPoor.196.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,They've been rehearsing non-stop for months to bring you a great show...so be KIND.,Ze hebben maandenlang non-stop gerepeteerd zodat jullie een spektakel te zien krijgen. DUS WEES BELEEFD.,SAY.Dialog:RicoGoodOrPoor.195.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,It's tough being the one in the spotlight.,Het is niet gemakkelijk om in de schijnwerpers te staan.,SAY.Dialog:RicoGoodOrPoor.194.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,"After the Elephant's section, Rico reviews the performance.
This is if the Elephant gave a GOOD show.",Wow—what a COLOSSAL feat!,Amai — wat een PRESTATIE!,SAY.Dialog:RicoGoodOrPoor.188.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,A JUMBO serving of entertainment!,Een JUMBO dosis van vermaak!,SAY.Dialog:RicoGoodOrPoor.290.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,That was one helluva SHOW.,Dat was een kanjer van een show.,SAY.Dialog:RicoGoodOrPoor.186.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,Am I RIGHT?!,JUIST?!,SAY.Dialog:RicoGoodOrPoor.291.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,These animals have traveled a long way to get here.,Deze beesten hebben lang gereisd om hier vanavond te zijn.,SAY.Dialog:RicoGoodOrPoor.185.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,They've been rehearsing non-stop for months—and it shows!,Ze hebben maanden lang gerepeteerd — en dat kunnen we zien!,SAY.Dialog:RicoGoodOrPoor.191.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,They deserve to be in the spotlight.,Ze verdienen hun plekje in de schijnwerpers.,SAY.Dialog:RicoGoodOrPoor.34.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,And so do I!,En ik verdien dat ook!,SAY.Dialog:RicoGoodOrPoor.190.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,Back on stage: Rico introduces the Gorilla,Alright... enough monkeying around...,Kom... genoeg geleuter...,SAY.Dialog:RicoIntroductions.44.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,Let's bring out the next act!,Tijd voor de volgende act!,SAY.Dialog:RicoIntroductions.49.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,You'll be astounded at how intelligent she is.,Jullie zullen versteld staan van hoe slim ze wel niet is.,SAY.Dialog:RicoIntroductions.48.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,Her DNA is 95% HUMAN and 5% MAGIC... and she takes direction like a champ!,Haar DNA is 95% mens en 5% MAGIE... en ze volgt feedback als de beste!,SAY.Dialog:RicoIntroductions.51.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,From deep in the misty rainforests of the Congo—,Van de diepe en nevelige regenwouden van Congo —,SAY.Dialog:RicoIntroductions.50.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,Give me two opposable thumbs up for...,Geef me twee gestrekte duimpjes voor...,SAY.Dialog:RicoIntroductions.45.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,"The Player gains control of the Gorilla again.
After the mini-game, the dialogue jumps to either line 68 or 81.",QUEENIE THE GORILLA!,GUUSTA DE GORILLA!,SAY.Dialog:RicoIntroductions.55.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,"After the Gorilla's section, Rico reviews the performance.
This is if the Gorilla gave a BAD show.","Okay, okay, sometimes live acts can get a little hairy.","Jazeker, soms zijn live shows harige toestanden!",SAY.Dialog:RicoGoodOrPoor.55.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,Not everyone has the ape-titude to be a star!,Niet iedereen heeft de aap-itude om de ster van de show te worden!,SAY.Dialog:RicoGoodOrPoor.218.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,No refunds! You won't be getting your silver back!,Betaald is betaald! Jullie krijgen geen cent terug!,SAY.Dialog:RicoGoodOrPoor.222.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,Don't leave! I guarantee our next few acts will be more bearable!,"Nee, wacht! Ik beloof dat onze volgende actes de moeite waard zijn!",SAY.Dialog:RicoGoodOrPoor.220.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,...and I'm not lyin' about the big finale!,...en ik was serieus over de grote finale!,SAY.Dialog:RicoGoodOrPoor.215.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,"After the Gorilla's section, Rico reviews the performance.
This is if the Gorilla gave a GOOD show.",What APE-TITUDE under such HAIRY circumstances!,AAP-ITUDE MET HAAR OP!,SAY.Dialog:RicoGoodOrPoor.52.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,"What am I, chopped liver?",En ik doe hier niets zeker?,SAY.Dialog:RicoGoodOrPoor.206.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,"But it's true, these animals are something special.",Maar het klopt. Deze dieren zijn werkelijk speciaal.,SAY.Dialog:RicoGoodOrPoor.213.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,...and they make me look good!,...en ze doen me er goed uitzien!,SAY.Dialog:RicoGoodOrPoor.212.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,Back on stage: Rico introduces the Zebra.,This next act is a majestic beast from the Far East.,"De volgende act komt van een majestueus wezen, van het Verre Oosten.",SAY.Dialog:RicoIntroductions.62.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,"Let there be no Kung-Fu-sion, no one balances skill and speed quite like him!","Van het verre land van Kung Fu-cius, niemand houdt vaardigheden en snelheid zo in balans als onze volgende ster.",SAY.Dialog:RicoIntroductions.65.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,"The Player gains control of the Zebra again.
After the mini-game, the dialogue jumps to either line 95 or 113.",Welcome to the stage YINYANG THE CHINESE ZEBRA!!,WELKOM! YIN-YANG DE CHINESE ZEBRA!,SAY.Dialog:RicoIntroductions.56.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,"After the Zebra's section, Rico reviews the performance.
This is if the Zebra gave a BAD show.",*Oof*,*Oef*,SAY.Dialog:RicoGoodOrPoor.70.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,We weren't in balance today...,We waren vandaag toch niet zo in balans...,SAY.Dialog:RicoGoodOrPoor.227.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,"But sometimes, disasters turn out to be blessings!",Maar soms komt er wat goeds van!,SAY.Dialog:RicoGoodOrPoor.293.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,Come on folks! That's the risk of live performance: you never know what will happen...,"Kom toch, mensen! Dat is nu toch de aard van live shows: je weet nooit welk vlees je in de kuip hebt!",SAY.Dialog:RicoGoodOrPoor.225.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,...and it could have been worse!,...en het kon veel erger zijn!,SAY.Dialog:RicoGoodOrPoor.224.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,"After the Zebra's section, Rico reviews the performance.
This is if the Zebra gave a GOOD show.",What a RUSH! What a HIGH!,"AMAI! Wat een gevoel, wat een ROES!",SAY.Dialog:RicoGoodOrPoor.67.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,You saw it here tonight folks!,"Jullie zagen het vanavond bij ons, mensen!",SAY.Dialog:RicoGoodOrPoor.292.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,"We're blurring the lines between theatre, dance, and circus!","De lijnen tussen kunst, theater en dans vervagen!",SAY.Dialog:RicoGoodOrPoor.231.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,We are INTERDISCIPLINARY!,We zijn INTERDISCIPLINAIR!,SAY.Dialog:RicoGoodOrPoor.233.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,Player gains control of the Zebra.,...and it only gets better!,...en het wordt enkel maar beter!,SAY.Dialog:RicoGoodOrPoor.240.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,Back on stage: Rico introduces the Bear.,Our next performer is done with hibernating backstage and ready to spring into action!,Onze volgende acrobaat heeft net zijn dutje afgerond en staat klaar om in actie te schieten!,SAY.Dialog:RicoIntroductions.72.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,"All the way from the Russian Tundra, give a globally warm welcome to my bike-riding Bolshevik—","Helemaal van de Russische Toendra, geef een verwarmend applaus aan onze bollende Bolsjeviek —",SAY.Dialog:RicoIntroductions.17.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,"The Player gains control of the Bear again.
After the mini-game, the dialogue jumps to either line s or d.",CHEKHOV THE KAMCHATKA BROWN BEAR!,CHEKOV DE BRUINE BEER VAN KAMSJATKA!,SAY.Dialog:RicoIntroductions.97.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,"After the Bear's section, Rico reviews the performance.
This is if the Bear gave a BAD show.",Let's take a moment to pause and reflect on that act before we shift gears...,"Maar eerst, een moment om even stil te staan bij onze act voor we verder gaan...",SAY.Dialog:RicoGoodOrPoor.86.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,Let me be real with you—the next animal is not what it seems...,Ik moet eerlijk zijn — dit volgend beest is niet wat het lijkt...,SAY.Dialog:RicoGoodOrPoor.261.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,It's even BETTER!,Het is BETER dan een gewoon beest!,SAY.Dialog:RicoGoodOrPoor.260.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,"And after our next and final act, you'll get my big announcement!\n","En na onze volgende, en laatste, act horen jullie mijn grote aankondiging!\n",SAY.Dialog:RicoGoodOrPoor.259.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,"After the Bear's section, Rico reviews the performance.
This is if the Bear gave a GOOD show.",My head is spinning—with how great that act was!,Ik kan er niet van bij — wat een geweldige prestatie!,SAY.Dialog:RicoGoodOrPoor.83.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,I can barely hear you—give me another round of applause for CHEKHOV!,Ik hoor nauwelijk iets — geef me nog een oorverdovend applaus voor CHEKOV!,SAY.Dialog:RicoGoodOrPoor.294.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,"Even though every animal is different, under the spotlight they are all the same...","Zelfs al zijn die beesten zo verschillend, onder de schijnwerpers zijn ze één en dezelfde!",SAY.Dialog:RicoGoodOrPoor.244.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,—STARS!,— het zijn STERREN!,SAY.Dialog:RicoGoodOrPoor.243.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,"Bear with us folks! After the next and final act, you'll get my big announcement!","Nog eventjes, mensen! Na de volgende en laatste act: mijn grote aankondiging!",SAY.Dialog:RicoGoodOrPoor.250.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,Back on stage: Rico introduces the Lion.,Thanks for not staying home and watching TV.,Bedankt om buiten te komen en de TV zo te laten voor vanavond.,SAY.Dialog:RicoIntroductions.86.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,A live performer and a live audience—,Een live artiest en een live publiek —,SAY.Dialog:RicoIntroductions.85.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,There's just no substitute for the energy of an,Er bestaat gewoon geen vervanging voor,SAY.Dialog:RicoIntroductions.84.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,IN,ECHTE,SAY.Dialog:RicoIntroductions.79.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,Needs space or hyphen at start,-PERSON,LIVE,SAY.Dialog:RicoIntroductions.88.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,Needs space or hyphen at start,-CROWD!,PUBLIEKEN!,SAY.Dialog:RicoIntroductions.87.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,I hope you're all ready for the LAST and FINAL act of this evening.,Ik hoop dat jullie klaar zijn voor de LAATSTE en FINALE act van vanavond.,SAY.Dialog:RicoIntroductions.94.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,There's nothing tame about it.,En er is absoluut niets tam of rustig aan.,SAY.Dialog:RicoIntroductions.93.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,"In fact, it's on...",Ik zou zelfs zeggen...,SAY.Dialog:RicoIntroductions.92.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,FIRE!,DAT HET VUUR ER UIT SCHIET!,SAY.Dialog:RicoIntroductions.162.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,All the way from India—my pride and joy:,Uit het verre India — mijn trots en oogappel:,SAY.Dialog:RicoIntroductions.91.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,"The Player gains control of the Lion again.
After the mini-game, the dialogue jumps to either line s or d.",BHUT JOLOKIA THE SPICY ASIATIC LION!,SAMBAL DE PIKANTE AZIATISCHE LEEUW!,SAY.Dialog:RicoIntroductions.90.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,"After the Lion's section, he reviews the performance!
IF POOR:",I'm not lyin' folks... that could have been better.,"Ik ga er geen doekjes rond winden, mensen. Dat kon beter.",SAY.Dialog:RicoGoodOrPoor.284.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,But don't worry!,Maar geen zorgen!,SAY.Dialog:RicoGoodOrPoor.312.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,IF GOOD,Let me hear you ROAR!,Laat ons je horen BRULLEN!,SAY.Dialog:RicoGoodOrPoor.310.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,"He then reviews the full performance.
If all four games total average was GOOD:","On the whole, I'd say tonight's show was a WILD success!","Al bij al, was de show van vanavond een BEESTIG succes!",SAY.Dialog:RicoGoodOrPoor.298.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,If all four games total average was POOR:,"On the whole, I guess tonight was a bit off.","Al bij al, was vanavond best povertjes.",SAY.Dialog:RicoGoodOrPoor.299.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,For those of you who have stayed—thank you for not walking out!,Voor diegene die zijn gebleven — bedankt om te zijn gebleven te zijn!,SAY.Dialog:RicoGoodOrPoor.300.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,Now it's time for my BIG ANNOUNCEMENT.,En NU! Tijd voor mijn grote aankondiging.,SAY.Dialog:RicoGoodOrPoor.311.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,This hard-working cast of animals is being retired.,Deze ijverige troupe van beestige beesten stopt binnenkort.,SAY.Dialog:RicoGoodOrPoor.314.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,Tonight was their LAST SHOW.,Vanavond was de LAATSTE SHOW.,SAY.Dialog:RicoGoodOrPoor.313.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,Get ready for consistently perfect performances every night by the world's most exotic and endangered creatures!,"Bereid je elke avond voor om PERFECTE voorstellingen, met de meest exotische en BEDREIGDE diersoorten ooit, bij te wonen!",SAY.Dialog:RicoGoodOrPoor.316.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,"Thanks to our new sponsor, the benevolent Mme. Derriere, we can finally afford our DREAM CAST...","En dankzij onze sponsor, de vrijgevige en goedhartige Mevr. Derrière, kunnen we EINDELIJK onze droomcast betalen...",SAY.Dialog:RicoGoodOrPoor.418.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,of ROBOTS!,...een droomcast van ROBOTS!,SAY.Dialog:RicoGoodOrPoor.317.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,We're going to be the NOAH'S ARK of ENTERTAINMENT.,We worden de ARK VAN NOACH als het op entertainment aankomt.,SAY.Dialog:RicoGoodOrPoor.408.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,The Player gains control of the Lion again.,GOODNIGHT EVERYBODY!,EEN GOEDE AVOND ALLEMAAL!,SAY.Dialog:RicoGoodOrPoor.315.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,Rico is selling the donkeys to mysterious assknappers.,Thanks for doing business folks!,"Bedankt om langs te komen, mensen!",SAY.Dialog:Ending.259.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,Right over there.,Daar!,SAY.Dialog:Ending.162.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,My show needs Robots more than donkeys in cheap costumes if I'm gonna get bums in seats.,Mijn show heeft meer robots dan ezels in goedkope kostuums nodig als ik de zaal met wat anders dan marginalen wil opvullen.,SAY.Dialog:Ending.158.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,"No hard feelings, donkey.","Het is niet persoonlijk, ezeltje.",SAY.Dialog:Ending.161.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,Art dies when you stop innovating!,Kunst stopt met bestaan als je niet durft innoveren!,SAY.Dialog:Ending.243.Ringmaster Rico
Ringmaster Rico,E5,E5_CircusMain_localization,,I'll just never make it to the big stage with fakes.,Ik ga het gewoon nooit tot het grote circuspodium scheppen als ik met namaakartiesten optreed.,SAY.Dialog:Ending.158.Ringmaster Rico
Risky Ass,E4,E4_AstralPlaneMain_localization,Sick Ass finds the Gamblers atop the hill.,401! I win! I told you we'd break 400 today.,401! Ik win! Ik zei je toch dat we de kaap van 400 over gingen gaan.,SAY.Dialog:Gamblers.1.Risky Ass
Risky Ass,E4,E4_AstralPlaneMain_localization,,Head on down the hill!,Ga maar langs de heuvel naar beneden!,SAY.Dialog:Gamblers.105.Risky Ass
Risky Ass,E4,E4_AstralPlaneMain_localization,,Chances are—you'll see a familiar face or two!,Het kan wel eens zijn dat je een paar bekende gezichten tegenkomt!,SAY.Dialog:Gamblers.106.Risky Ass
Risky Ass,E4,E4_AstralPlaneMain_localization,,We'll know the final tally after tonight's Concert.,"We hebben onze finale score vanavond, na het Concert.",SAY.Dialog:Gamblers.64.Risky Ass
Risky Ass,E4,E4_AstralPlaneMain_localization,"The camera moves over the terrain during the party and lands on The Gamblers, watching a pillar of light descend from the sky. End of scene.",We gonna have one helluva night—Look at all dem fresh Ass Souls!,'t Word een avond van jewelste — Kijk naar al die verse Ezel Zielen!,SAY.Dialog:Gamblers_End.11.Risky Ass
Sad Ass,E1,E1_Farm_localization,Sad (male) Matches Quest,Oh hullo Trusty...  thanks for noticing me...,Ohh hallo'kes Trouwe... fijn dat je me opmerkt...,SAY.Dialog:Sad_Quest_Matches.3.Sad Ass
Sad Ass,E1,E1_Farm_localization,,Wish I could say 'good' afternoon...  but it's not...,Wou dat ik 'goeie' middag kon zeggen... maar het is helemaal niet zo goed...,SAY.Dialog:Sad_Quest_Matches.5.Sad Ass
Sad Ass,E1,E1_Farm_localization,,"You probably forgot, but today's the anniversary of the tragic cave-in...","Misschien was je 't vergeten, maar vandaag is het de gedenkdag van de instorting in de grotten...",SAY.Dialog:Sad_Quest_Matches.6.Sad Ass
Sad Ass,E1,E1_Farm_localization,,The love of my life was crushed in the Mines one year ago...,Een jaar geleden werd de liefde van mijn leven verpletterd in de Mijnen...,SAY.Dialog:Sad_Quest_Matches.7.Sad Ass
Sad Ass,E1,E1_Farm_localization,,And now her Soul is stuck down there forever...,En haar ziel zit daar vast... voor altijd...,SAY.Dialog:Sad_Quest_Matches.48.Sad Ass
Sad Ass,E1,E1_Farm_localization,,I still see Lazy Ass's beautiful dark grey eyes in my dreams...,Ik zie Luie Zak haar mooie donkergrijze ogen nog altijd in mijn dromen...,SAY.Dialog:Sad_Quest_Matches.8.Sad Ass
Sad Ass,E1,E1_Farm_localization,,*whimper*,*boe-hoe-hoe-hoe*,SAY.Dialog:Sad_Quest_Matches.9.Sad Ass
Sad Ass,E1,E1_Farm_localization,,I'm holding a Vigil in her memory...,Ik hou een korte wake in haar nagedachtenis...,SAY.Dialog:Sad_Quest_Matches.14.Sad Ass
Sad Ass,E1,E1_Farm_localization,,Bad Ass gave me this candle...,Waaghals gaf me deze kaars...,SAY.Dialog:Sad_Quest_Matches.47.Sad Ass
Sad Ass,E1,E1_Farm_localization,,Could you bring me some matches for my candle...?,Kan je me misschien wat lucifers brengen...?,SAY.Dialog:Sad_Quest_Matches.10.Sad Ass
Sad Ass,E1,E1_Farm_localization,,Did you find the matches? They might be in the Stable...,Heb je lucifers gevonden? Ze liggen misschien in de Stal...,SAY.Dialog:Sad_Quest_Matches.19.Sad Ass
Sad Ass,E1,E1_Farm_localization,,Thanks for the matches...  hope I don't burn myself...,Bedankt voor de lucifers... zien dat ik mezelf niet verbrand...,SAY.Dialog:Sad_Quest_Matches.24.Sad Ass
Sad Ass,E1,E1_Farm_localization,,*whimper*,*boe-hoe-hoe-hoe*,SAY.Dialog:Sad_Quest_Matches.29.Sad Ass
Sad Ass,E1,E1_Farm_localization,"After having spoken to Hard Ass, if the player speaks to Sad again",Condolences from Hard Ass...?,Innige deelneming van Felle Gast..?,SAY.Dialog:Sad_Quest_Matches.51.Sad Ass
Sad Ass,E1,E1_Farm_localization,,Sometimes I wish he hadn't switched shifts with Lazy Ass that day...,Soms wou ik dat hij op die dag nooit zijn shift met Luie Zak had verwisseld...,SAY.Dialog:Sad_Quest_Matches.62.Sad Ass
Sad Ass,E1,E1_Farm_localization,,*whimper*,*boe-hoe-hoe-hoe*,SAY.Dialog:Sad_Quest_Matches.60.Sad Ass
Sad Ass,E1,E1_TheProtest_localization,Attempt to recruit Sad Ass,Not Old Ass... I’m sorry Trusty. Things have gone from bad to worse...,"Oh nee, niet Oude Zak.. Het spijt me Trouwe. De zaken zijn van kwaad naar erger gegaan...",SAY.Dialog: SAD_Dawn.1.Sad Ass
Sad Ass,E1,E1_TheProtest_localization,,I think you should postpone the Protest...,Ik denk dat je het Protest moet uitstellen.,SAY.Dialog: SAD_Dawn.3.Sad Ass
Sad Ass,E1,E1_TheProtest_localization,,I wouldn't go if I were you...,Ik zou niet gaan als ik jou was...,SAY.Dialog: SAD_Dawn.4.Sad Ass
Sad Ass,E1,E1_TheProtest_localization,,*whimper*,*boe-hoe-hoe-hoe*,SAY.Dialog: SAD_Dawn.7.Sad Ass
Sad Ass,E1,E1_TheProtest_localization,,*whimper*,"Kust mijn kloten, man.",SAY.Dialog: SAD_Dawn.26.Sad Ass
Sad Ass,E2,E2_World_A2_localization,Nice Ass makes it close to the Outhouse on the Farm and hears something.,*whimper*,*boehoehoehoe*,SAY.Dialog:D_Dialog.1.Sad Ass
Sad Ass,E2,E2_World_A2_localization,The scene fades to black.,*whimper*,*boehoehoehoe*,SAY.Dialog:Burnout.5.Sad Ass
Sad Ass,E2,E2_Confession_localization,Nice Ass arrives at the Outhouse.,*whimper*,*boehoehoehoe*,SAY.Dialog:Confession.18.Sad Ass
Sad Ass,E2,E2_Confession_localization,,Nice Ass?,(Nice Ass)?,SAY.Dialog:Confession.40.Sad Ass
Sad Ass,E2,E2_Confession_localization,,I don't have it in me to move... I'm all alone...,Ik w-weet niet of ik het in m-me heb om verder te gaan. Ik ben h-helemaal alleen.,SAY.Dialog:Confession.36.Sad Ass
Sad Ass,E2,E2_Confession_localization,,I'm staying put...,Ik blijf hier...,SAY.Dialog:Confession.32.Sad Ass
Sad Ass,E2,E2_Confession_localization,Dialogue branches converge here.,Just go away...,Ga gewoon weg...,SAY.Dialog:Confession.240.Sad Ass
Sad Ass,E2,E2_Confession_localization,Jump to line 19.,Please stop...,Stop alsjeblieft...,SAY.Dialog:Confession.58.Sad Ass
Sad Ass,E2,E2_Confession_localization,Jump to line 19.,Don't come in!,Niet binnenkomen!,SAY.Dialog:Confession.52.Sad Ass
Sad Ass,E2,E2_Confession_localization,Dialogue branches converge here.,I'm a monster... A worthless beast...,Ik ben een monster... Een nutteloos beest...,SAY.Dialog:Confession.62.Sad Ass
Sad Ass,E2,E2_Confession_localization,,I AM!,"JAWEL, TOCH WEL.",SAY.Dialog:Confession.241.Sad Ass
Sad Ass,E2,E2_Confession_localization,,I spend my days doing nothing...,Ik spendeer mijn heler dagen met niets te doen.,SAY.Dialog:Confession.69.Sad Ass
Sad Ass,E2,E2_Confession_localization,,Just wallowing in my grief...,Gewoon... wentelen in mijn eigen verdriet.,SAY.Dialog:Confession.70.Sad Ass
Sad Ass,E2,E2_Confession_localization,Jump to line 30.,I-I didn't mean for things to get this out of control...,Ik w-wou helemaal niet dat de z-zaken zo ontspoorden...,SAY.Dialog:Confession.79.Sad Ass
Sad Ass,E2,E2_Confession_localization,,You're lying... I'm so skinny you can see my ribs through my fur...,Je liegt... ik ben zo mager dat je mijn ribben door mijn vacht heen kan zien...,SAY.Dialog:Confession.75.Sad Ass
